tick,num_deads,num_alphas
1,0,0
2,0,2
3,0,5
4,0,8
5,0,9
6,0,11
7,0,14
8,0,15
9,0,15
10,0,16
11,0,18
12,0,18
13,0,18
14,0,19
15,0,20
16,0,23
17,0,25
18,0,28
19,0,31
20,0,32
21,0,36
22,0,36
23,0,36
24,0,38
25,0,39
26,0,40
27,0,41
28,0,43
29,0,44
30,0,44
31,0,45
32,0,45
33,0,45
34,0,45
35,0,45
36,0,45
37,0,45
38,0,45
39,1,44
40,1,44
41,1,48
42,2,48
43,2,48
44,2,50
45,2,53
46,2,53
47,2,54
48,2,55
49,2,56
50,2,58
51,2,58
52,2,58
53,2,58
54,2,59
55,2,59
56,2,60
57,2,60
58,2,62
59,2,63
60,2,63
61,2,63
62,2,64
63,2,64
64,2,64
65,2,65
66,2,66
67,3,65
68,4,65
69,6,63
70,6,64
71,9,62
72,11,60
73,12,59
74,12,59
75,14,57
76,15,56
77,15,56
78,15,56
79,15,56
80,15,56
81,15,56
82,15,56
83,15,56
84,15,56
85,15,56
86,15,56
87,15,56
88,15,57
89,15,57
90,15,57
91,15,57
92,16,57
93,16,58
94,16,58
95,16,58
96,16,58
97,17,60
98,18,59
99,18,59
100,18,59
101,18,60
102,18,60
103,18,60
104,19,59
105,20,58
106,20,58
107,22,56
108,24,54
109,26,52
110,27,51
111,27,51
112,27,52
113,27,52
114,28,51
115,28,51
116,28,51
117,28,51
118,28,51
119,30,50
120,30,50
121,32,48
122,34,46
123,34,46
124,35,45
125,35,45
126,37,43
127,38,42
128,39,41
129,41,39
130,44,36
131,46,34
132,48,32
133,50,30
134,50,30
135,50,30
136,54,26
137,61,19
138,62,18
139,63,17
140,63,17
141,65,15
142,66,14
143,71,9
144,72,8
145,73,7
146,74,6
147,75,5
148,75,5
149,77,3
150,77,3
151,79,1
