tick,num_deads,num_alphas,num_tcells
1,0,0,0
2,0,2,0
3,0,4,8
4,0,7,17
5,0,9,25
6,0,14,34
7,0,19,38
8,0,20,41
9,0,21,46
10,1,20,47
11,1,22,47
12,1,24,55
13,1,27,55
14,1,28,55
15,1,30,55
16,1,31,56
17,1,31,57
18,1,33,57
19,1,33,57
20,1,33,57
21,1,31,57
22,1,31,57
23,2,30,57
24,4,24,57
25,6,26,57
26,6,27,57
27,6,26,57
28,6,26,57
29,6,30,57
30,6,31,57
31,6,30,57
32,6,31,57
33,6,31,57
34,6,27,57
35,6,30,57
36,6,32,58
37,6,30,58
38,6,33,58
39,6,31,58
40,6,29,59
41,6,30,59
42,6,31,59
43,6,30,59
44,6,28,59
45,6,29,59
46,6,28,59
47,6,26,59
48,7,25,59
49,8,25,59
50,9,25,59
51,10,26,59
52,10,26,61
53,11,27,61
54,12,26,61
55,13,25,61
56,13,24,61
57,16,21,61
58,20,21,61
59,22,20,61
60,25,19,62
61,27,18,62
62,28,16,62
63,30,15,63
64,31,15,63
65,31,14,65
66,31,15,65
67,33,14,66
68,34,14,66
69,34,13,66
70,36,10,66
71,36,12,66
72,39,11,67
73,39,12,68
74,43,12,68
75,43,14,68
76,43,13,68
77,44,12,70
78,44,13,70
79,46,11,70
80,47,8,70
81,48,9,71
82,49,8,73
83,52,9,75
84,54,11,75
85,55,11,75
86,55,9,76
87,56,10,76
88,57,9,77
89,60,9,77
90,64,8,78
91,65,7,78
92,67,6,78
93,67,6,78
94,70,4,78
95,73,3,78
96,75,3,78
97,75,3,78
98,75,3,78
99,76,2,79
100,76,2,79
101,76,2,82
102,76,1,82
103,76,1,82
104,77,1,83
105,77,1,84
106,78,1,87
107,78,1,87
108,78,1,88
109,78,1,88
110,78,1,88
111,78,1,89
112,78,0,90
113,78,0,90
114,79,0,90
115,79,0,90
116,79,0,90
117,79,0,90
118,79,0,90
119,79,0,90
120,79,0,90
121,79,0,92
122,79,0,93
123,79,0,93
124,79,0,93
125,79,0,93
126,79,0,93
127,79,0,94
128,79,0,94
129,79,0,94
130,79,0,94
131,79,0,94
132,79,0,94
133,79,0,94
134,79,0,94
135,79,0,94
136,79,0,94
137,79,0,94
138,79,0,94
139,79,0,94
140,79,0,94
141,79,0,94
142,79,0,94
143,80,0,94
144,80,0,94
145,80,0,94
146,80,0,94
147,80,0,94
148,80,0,94
149,80,0,94
150,80,0,94
151,80,0,94
