tick,num_deads,num_alphas,num_tcells
1,0,0,0
2,0,2,0
3,0,4,2
4,0,6,3
5,0,9,3
6,0,11,3
7,0,17,3
8,0,21,4
9,0,22,5
10,0,24,6
11,0,24,9
12,0,26,9
13,0,26,9
14,0,28,9
15,0,30,9
16,0,29,9
17,0,30,9
18,0,28,9
19,0,30,9
20,0,28,9
21,0,26,9
22,0,25,9
23,0,24,9
24,0,22,9
25,0,22,9
26,0,20,9
27,0,21,9
28,0,22,9
29,0,21,9
30,0,23,9
31,0,22,9
32,0,22,9
33,0,22,9
34,0,23,9
35,0,22,9
36,0,23,9
37,0,24,9
38,0,26,9
39,0,26,9
40,0,26,9
41,0,24,9
42,0,25,9
43,0,24,9
44,0,25,9
45,0,25,9
46,0,26,9
47,0,26,9
48,0,25,9
49,0,26,9
50,0,26,9
51,0,25,9
52,0,24,9
53,0,24,9
54,0,21,9
55,0,25,9
56,0,28,9
57,0,26,9
58,0,27,9
59,0,27,9
60,0,30,9
61,0,30,9
62,0,33,9
63,0,30,9
64,0,31,9
65,0,31,9
66,0,32,9
67,0,32,9
68,0,33,9
69,0,33,9
70,0,31,9
71,0,30,9
72,0,28,9
73,0,27,9
74,0,28,9
75,0,28,9
76,0,24,9
77,0,23,9
78,0,24,9
79,0,27,9
80,0,31,9
81,0,30,9
82,0,30,9
83,0,28,9
84,0,23,9
85,0,24,9
86,1,24,9
87,3,24,9
88,3,24,9
89,4,24,9
90,4,24,9
91,4,28,9
92,4,24,9
93,4,26,9
94,4,22,9
95,4,23,9
96,4,26,10
97,4,28,10
98,4,29,10
99,4,28,10
100,4,29,10
101,4,30,10
102,5,28,10
103,5,29,10
104,5,26,10
105,5,26,10
106,5,25,10
107,5,23,10
108,5,21,10
109,5,22,11
110,5,23,11
111,5,21,11
112,5,19,11
113,5,20,11
114,5,23,11
115,5,22,11
116,5,23,11
117,5,24,11
118,5,24,11
119,5,23,11
120,5,24,11
121,5,23,11
122,5,21,11
123,5,22,11
124,5,23,11
125,5,22,11
126,5,20,11
127,5,19,11
128,5,16,11
129,5,15,11
130,5,18,11
131,5,20,11
132,5,20,11
133,5,22,11
134,5,21,11
135,5,21,11
136,5,22,11
137,5,21,11
138,5,20,11
139,5,20,11
140,5,20,11
141,5,20,11
142,5,22,11
143,5,22,11
144,5,23,11
145,6,19,11
146,6,17,11
147,6,19,11
148,6,19,11
149,6,19,11
150,6,19,11
151,6,19,11
