agent_id,agent_type_initial,x_initial,y_initial,agent_type_updated,x_updated,y_updated,status
10000000,,,,0,12,10,NEW
10000001,,,,0,6,0,NEW
10000002,,,,0,0,3,NEW
10000003,,,,0,12,18,NEW
10000004,,,,0,12,19,NEW
10000005,,,,0,11,18,NEW
10000006,,,,0,16,13,NEW
10000007,,,,0,7,17,NEW
10000008,,,,0,0,15,NEW
10000009,,,,0,16,3,NEW
10000010,,,,0,17,0,NEW
10000011,,,,0,1,5,NEW
10000012,,,,0,8,8,NEW
10000013,,,,0,0,2,NEW
10000014,,,,0,13,10,NEW
10000015,,,,0,5,12,NEW
10000016,,,,0,7,9,NEW
10000017,,,,0,16,19,NEW
10000018,,,,0,13,19,NEW
10000019,,,,0,14,7,NEW
10000020,,,,3,17,2,NEW
10000021,,,,3,11,14,NEW
10000022,,,,3,16,10,NEW
10000023,,,,3,7,6,NEW
10000024,,,,3,8,9,NEW
10000025,,,,3,14,17,NEW
10000026,,,,3,1,18,NEW
10000027,,,,3,10,7,NEW
10000028,,,,3,13,11,NEW
10000029,,,,3,5,6,NEW
10000030,,,,3,14,11,NEW
10000031,,,,3,10,6,NEW
10000032,,,,3,15,7,NEW
10000033,,,,3,6,17,NEW
10000034,,,,3,5,4,NEW
10000035,,,,3,14,12,NEW
10000036,,,,4,0,1,NEW
10000037,,,,4,7,16,NEW
10000038,,,,4,8,15,NEW
10000039,,,,4,6,4,NEW
10000040,,,,4,15,17,NEW
10000041,,,,4,1,1,NEW
10000042,,,,4,13,6,NEW
10000043,,,,4,11,3,NEW
10000044,,,,4,17,9,NEW
10000045,,,,4,17,15,NEW
10000046,,,,4,14,4,NEW
10000047,,,,4,15,1,NEW
10000048,,,,4,11,8,NEW
10000049,,,,4,19,3,NEW
10000050,,,,4,18,1,NEW
10000051,,,,4,12,11,NEW
10000052,,,,4,17,5,NEW
10000053,,,,4,18,13,NEW
10000054,,,,4,17,3,NEW
10000055,,,,4,15,18,NEW
10000056,,,,4,0,7,NEW
10000057,,,,4,12,2,NEW
10000058,,,,4,10,12,NEW
10000059,,,,4,9,19,NEW
10000060,,,,4,3,9,NEW
10000061,,,,4,0,8,NEW
10000062,,,,4,18,12,NEW
10000063,,,,4,6,19,NEW
10000064,,,,4,0,9,NEW
10000065,,,,4,16,15,NEW
10000066,,,,4,8,10,NEW
10000067,,,,4,4,15,NEW
10000068,,,,4,1,8,NEW
10000069,,,,4,5,14,NEW
10000070,,,,4,14,14,NEW
10000071,,,,4,18,18,NEW
10000072,,,,4,3,2,NEW
10000073,,,,4,2,14,NEW
10000074,,,,4,19,18,NEW
10000075,,,,4,2,17,NEW
10000076,,,,4,1,19,NEW
10000077,,,,4,7,2,NEW
10000078,,,,4,10,19,NEW
10000079,,,,4,4,9,NEW
10000080,,,,4,17,16,NEW
10000081,,,,4,2,18,NEW
10000082,,,,4,19,5,NEW
10000083,,,,4,13,8,NEW
10000084,,,,4,13,0,NEW
10000085,,,,4,16,14,NEW
10000086,,,,4,3,12,NEW
10000087,,,,4,10,0,NEW
20000000,,,,0,10,35,NEW
20000001,,,,0,0,22,NEW
20000002,,,,0,18,24,NEW
20000003,,,,0,17,28,NEW
20000004,,,,0,16,25,NEW
20000005,,,,0,12,30,NEW
20000006,,,,0,0,37,NEW
20000007,,,,0,16,30,NEW
20000008,,,,0,6,29,NEW
20000009,,,,0,2,26,NEW
20000010,,,,0,9,39,NEW
20000011,,,,0,7,28,NEW
20000012,,,,0,4,30,NEW
20000013,,,,0,0,35,NEW
20000014,,,,0,5,29,NEW
20000015,,,,0,2,39,NEW
20000016,,,,0,19,21,NEW
20000017,,,,0,5,30,NEW
20000018,,,,0,5,34,NEW
20000019,,,,0,6,39,NEW
20000020,,,,3,8,30,NEW
20000021,,,,3,5,22,NEW
20000022,,,,3,8,32,NEW
20000023,,,,3,9,35,NEW
20000024,,,,3,7,32,NEW
20000025,,,,3,15,38,NEW
20000026,,,,3,8,20,NEW
20000027,,,,3,14,30,NEW
20000028,,,,3,17,29,NEW
20000029,,,,3,7,21,NEW
20000030,,,,3,9,32,NEW
20000031,,,,3,15,37,NEW
20000032,,,,3,4,31,NEW
20000033,,,,3,6,36,NEW
20000034,,,,3,11,30,NEW
20000035,,,,3,13,30,NEW
20000036,,,,4,19,35,NEW
20000037,,,,4,1,22,NEW
20000038,,,,4,10,36,NEW
20000039,,,,4,1,33,NEW
20000040,,,,4,15,35,NEW
20000041,,,,4,17,23,NEW
20000042,,,,4,11,36,NEW
20000043,,,,4,7,23,NEW
20000044,,,,4,9,21,NEW
20000045,,,,4,4,37,NEW
20000046,,,,4,13,37,NEW
20000047,,,,4,16,37,NEW
20000048,,,,4,12,25,NEW
20000049,,,,4,18,20,NEW
20000050,,,,4,16,32,NEW
20000051,,,,4,8,36,NEW
20000052,,,,4,19,25,NEW
20000053,,,,4,9,24,NEW
20000054,,,,4,13,32,NEW
20000055,,,,4,16,36,NEW
20000056,,,,4,19,39,NEW
20000057,,,,4,0,29,NEW
20000058,,,,4,6,37,NEW
20000059,,,,4,15,28,NEW
20000060,,,,4,11,31,NEW
20000061,,,,4,17,20,NEW
20000062,,,,4,9,33,NEW
20000063,,,,4,9,38,NEW
20000064,,,,4,19,36,NEW
20000065,,,,4,9,37,NEW
20000066,,,,4,5,24,NEW
20000067,,,,4,13,35,NEW
20000068,,,,4,17,24,NEW
20000069,,,,4,17,36,NEW
20000070,,,,4,6,21,NEW
20000071,,,,4,15,36,NEW
20000072,,,,4,9,23,NEW
20000073,,,,4,2,27,NEW
20000074,,,,4,15,26,NEW
20000075,,,,4,0,33,NEW
20000076,,,,4,14,23,NEW
20000077,,,,4,11,27,NEW
20000078,,,,4,10,20,NEW
20000079,,,,4,11,28,NEW
20000080,,,,4,12,22,NEW
20000081,,,,4,15,27,NEW
20000082,,,,4,0,34,NEW
20000083,,,,4,10,33,NEW
20000084,,,,4,3,28,NEW
20000085,,,,4,17,37,NEW
20000086,,,,4,6,32,NEW
20000087,,,,4,1,36,NEW
30000000,,,,0,25,2,NEW
30000001,,,,0,28,16,NEW
30000002,,,,0,21,6,NEW
30000003,,,,0,36,14,NEW
30000004,,,,0,23,17,NEW
