tick,agent_id,agent_type,x,y,rank
1,0,0,12,10,0
1,1,0,6,0,0
1,2,0,0,3,0
1,3,0,12,18,0
1,4,0,12,19,0
1,5,0,11,18,0
1,6,0,16,13,0
1,7,0,7,17,0
1,8,0,0,15,0
1,9,0,16,3,0
1,10,0,17,0,0
1,11,0,1,5,0
1,12,0,8,8,0
1,13,0,0,2,0
1,14,0,13,10,0
1,15,0,5,12,0
1,16,0,7,9,0
1,17,0,16,19,0
1,18,0,13,19,0
1,19,0,14,7,0
1,0,3,17,2,0
1,1,3,11,14,0
1,2,3,16,10,0
1,3,3,7,6,0
1,4,3,8,9,0
1,5,3,14,17,0
1,6,3,1,18,0
1,7,3,10,7,0
1,8,3,13,11,0
1,9,3,5,6,0
1,10,3,14,11,0
1,11,3,10,6,0
1,12,3,15,7,0
1,13,3,6,17,0
1,14,3,5,4,0
1,15,3,14,12,0
1,0,4,0,1,0
1,1,4,7,16,0
1,2,4,8,15,0
1,3,4,6,4,0
1,4,4,15,17,0
1,5,4,1,1,0
1,6,4,13,6,0
1,7,4,11,3,0
1,8,4,17,9,0
1,9,4,17,15,0
1,10,4,14,4,0
1,11,4,15,1,0
1,12,4,11,8,0
1,13,4,19,3,0
1,14,4,18,1,0
1,15,4,12,11,0
1,16,4,17,5,0
1,17,4,18,13,0
1,18,4,17,3,0
1,19,4,15,18,0
1,20,4,0,7,0
1,21,4,12,2,0
1,22,4,10,12,0
1,23,4,9,19,0
1,24,4,3,9,0
1,25,4,0,8,0
1,26,4,18,12,0
1,27,4,6,19,0
1,28,4,0,9,0
1,29,4,16,15,0
1,30,4,8,10,0
1,31,4,4,15,0
1,32,4,1,8,0
1,33,4,5,14,0
1,34,4,14,14,0
1,35,4,18,18,0
1,36,4,3,2,0
1,37,4,2,14,0
1,38,4,19,18,0
1,39,4,2,17,0
1,40,4,1,19,0
1,41,4,7,2,0
1,42,4,10,19,0
1,43,4,4,9,0
1,44,4,17,16,0
1,45,4,2,18,0
1,46,4,19,5,0
1,47,4,13,8,0
1,48,4,13,0,0
1,49,4,16,14,0
1,50,4,3,12,0
1,51,4,10,0,0
2,0,0,12,10,0
2,1,0,6,0,0
2,2,0,0,3,0
2,3,0,12,18,0
2,4,0,12,19,0
2,5,0,11,18,0
2,6,0,16,13,0
2,7,0,7,17,0
2,8,0,0,15,0
2,9,0,16,3,0
2,10,0,17,0,0
2,11,0,1,5,0
2,12,0,8,8,0
2,13,0,0,2,0
2,14,0,13,10,0
2,15,0,5,12,0
2,16,0,7,9,0
2,17,0,16,19,0
2,18,0,13,19,0
2,19,0,14,7,0
2,0,3,17,2,0
2,1,3,11,14,0
2,2,3,16,10,0
2,3,3,7,6,0
2,4,3,8,9,0
2,5,3,14,17,0
2,6,3,1,18,0
2,7,3,10,7,0
2,8,3,13,11,0
2,9,3,5,6,0
2,10,3,14,11,0
2,11,3,10,6,0
2,12,3,15,7,0
2,13,3,6,17,0
2,14,3,5,4,0
2,15,3,14,12,0
2,0,4,0,1,0
2,1,4,7,16,0
2,2,4,8,15,0
2,3,4,6,4,0
2,4,4,15,17,0
2,5,4,1,1,0
2,6,4,13,6,0
2,7,4,11,3,0
2,8,4,17,9,0
2,9,4,17,15,0
2,10,4,14,4,0
2,11,4,15,1,0
2,12,4,11,8,0
2,13,4,19,3,0
2,14,4,18,1,0
2,15,4,12,11,0
2,16,4,17,5,0
2,17,4,18,13,0
2,18,4,17,3,0
2,19,4,15,18,0
2,20,4,0,7,0
2,21,4,12,2,0
2,22,4,10,12,0
2,23,4,9,19,0
2,24,4,3,9,0
2,25,4,0,8,0
2,26,4,18,12,0
2,27,4,6,19,0
2,28,4,0,9,0
2,29,4,16,15,0
2,30,4,8,10,0
2,31,4,4,15,0
2,32,4,1,8,0
2,33,4,5,14,0
2,34,4,14,14,0
2,35,4,18,18,0
2,36,4,3,2,0
2,37,4,2,14,0
2,38,4,19,18,0
2,39,4,2,17,0
2,40,4,1,19,0
2,41,4,7,2,0
2,42,4,10,19,0
2,43,4,4,9,0
2,44,4,17,16,0
2,45,4,2,18,0
2,46,4,19,5,0
2,47,4,13,8,0
2,48,4,13,0,0
2,49,4,16,14,0
2,50,4,3,12,0
2,51,4,10,0,0
3,0,0,12,10,0
3,1,0,6,0,0
3,2,0,0,3,0
3,3,0,12,18,0
3,4,0,12,19,0
3,5,0,11,18,0
3,6,0,16,13,0
3,7,0,7,17,0
3,8,0,0,15,0
3,9,0,16,3,0
3,10,0,17,0,0
3,11,0,1,5,0
3,12,0,8,8,0
3,13,0,0,2,0
3,14,0,13,10,0
3,15,0,5,12,0
3,16,0,7,9,0
3,17,0,16,19,0
3,18,0,13,19,0
3,19,0,14,7,0
3,0,3,17,2,0
3,1,3,11,14,0
3,2,3,16,10,0
3,3,3,7,6,0
3,4,3,8,9,0
3,5,3,14,17,0
3,6,3,1,18,0
3,7,3,10,7,0
3,8,3,13,11,0
3,9,3,5,6,0
3,10,3,14,11,0
3,11,3,10,6,0
3,12,3,15,7,0
3,13,3,6,17,0
3,14,3,5,4,0
3,15,3,14,12,0
3,0,4,0,1,0
3,1,4,7,16,0
3,2,4,8,15,0
3,3,4,6,4,0
3,4,4,15,17,0
3,5,4,1,1,0
3,6,4,13,6,0
3,7,4,11,3,0
3,8,4,17,9,0
3,9,4,17,15,0
3,10,4,14,4,0
3,11,4,15,1,0
3,12,4,11,8,0
3,13,4,19,3,0
3,14,4,18,1,0
3,15,4,12,11,0
3,16,4,17,5,0
3,17,4,18,13,0
3,18,4,17,3,0
3,19,4,15,18,0
3,20,4,0,7,0
3,21,4,12,2,0
3,22,4,10,12,0
3,23,4,9,19,0
3,24,4,3,9,0
3,25,4,0,8,0
3,26,4,18,12,0
3,27,4,6,19,0
3,28,4,0,9,0
3,29,4,16,15,0
3,30,4,8,10,0
3,31,4,4,15,0
3,32,4,1,8,0
3,33,4,5,14,0
3,34,4,14,14,0
3,35,4,18,18,0
3,36,4,3,2,0
3,37,4,2,14,0
3,38,4,19,18,0
3,39,4,2,17,0
3,40,4,1,19,0
3,41,4,7,2,0
3,42,4,10,19,0
3,43,4,4,9,0
3,44,4,17,16,0
3,45,4,2,18,0
3,46,4,19,5,0
3,47,4,13,8,0
3,48,4,13,0,0
3,49,4,16,14,0
3,50,4,3,12,0
3,51,4,10,0,0
4,0,0,12,10,0
4,1,0,6,0,0
4,2,0,0,3,0
4,3,0,12,18,0
4,4,0,12,19,0
4,5,0,11,18,0
4,6,0,16,13,0
4,7,0,7,17,0
4,8,0,0,15,0
4,9,0,16,3,0
4,10,0,17,0,0
4,11,0,1,5,0
4,12,0,8,8,0
4,13,0,0,2,0
4,14,0,13,10,0
4,15,0,5,12,0
4,16,0,7,9,0
4,17,0,16,19,0
4,18,0,13,19,0
4,19,0,14,7,0
4,0,3,17,2,0
4,1,3,11,14,0
4,2,3,16,10,0
4,3,3,7,6,0
4,4,3,8,9,0
4,5,3,14,17,0
4,6,3,1,18,0
4,7,3,10,7,0
4,8,3,13,11,0
4,9,3,5,6,0
4,10,3,14,11,0
4,11,3,10,6,0
4,12,3,15,7,0
4,13,3,6,17,0
4,14,3,5,4,0
4,15,3,14,12,0
4,0,4,0,1,0
4,1,4,7,16,0
4,2,4,8,15,0
4,3,4,6,4,0
4,4,4,15,17,0
4,5,4,1,1,0
4,6,4,13,6,0
4,7,4,11,3,0
4,8,4,17,9,0
4,9,4,17,15,0
4,10,4,14,4,0
4,11,4,15,1,0
4,12,4,11,8,0
4,13,4,19,3,0
4,14,4,18,1,0
4,15,4,12,11,0
4,16,4,17,5,0
4,17,4,18,13,0
4,18,4,17,3,0
4,19,4,15,18,0
4,20,4,0,7,0
4,21,4,12,2,0
4,22,4,10,12,0
4,23,4,9,19,0
4,24,4,3,9,0
4,25,4,0,8,0
4,26,4,18,12,0
4,27,4,6,19,0
4,28,4,0,9,0
4,29,4,16,15,0
4,30,4,8,10,0
4,31,4,4,15,0
4,32,4,1,8,0
4,33,4,5,14,0
4,34,4,14,14,0
4,35,4,18,18,0
4,36,4,3,2,0
4,37,4,2,14,0
4,38,4,19,18,0
4,39,4,2,17,0
4,40,4,1,19,0
4,41,4,7,2,0
4,42,4,10,19,0
4,43,4,4,9,0
4,44,4,17,16,0
4,45,4,2,18,0
4,46,4,19,5,0
4,47,4,13,8,0
4,48,4,13,0,0
4,49,4,16,14,0
4,50,4,3,12,0
4,51,4,10,0,0
5,0,0,12,10,0
5,1,0,6,0,0
5,2,0,0,3,0
5,3,0,12,18,0
5,4,0,12,19,0
5,5,0,11,18,0
5,6,0,16,13,0
5,7,0,7,17,0
5,8,0,0,15,0
5,9,0,16,3,0
5,10,0,17,0,0
5,11,0,1,5,0
5,12,0,8,8,0
5,13,0,0,2,0
5,14,0,13,10,0
5,15,0,5,12,0
5,16,0,7,9,0
5,17,0,16,19,0
5,18,0,13,19,0
5,19,0,14,7,0
5,0,3,17,2,0
5,1,3,11,14,0
5,2,3,16,10,0
5,3,3,7,6,0
5,4,3,8,9,0
5,5,3,14,17,0
5,6,3,1,18,0
5,7,3,10,7,0
5,8,3,13,11,0
5,9,3,5,6,0
5,10,3,14,11,0
5,11,3,10,6,0
5,12,3,15,7,0
5,13,3,6,17,0
5,14,3,5,4,0
5,15,3,14,12,0
5,0,4,0,1,0
5,1,4,7,16,0
5,2,4,8,15,0
5,3,4,6,4,0
5,4,4,15,17,0
5,5,4,1,1,0
5,6,4,13,6,0
5,7,4,11,3,0
5,8,4,17,9,0
5,9,4,17,15,0
5,10,4,14,4,0
5,11,4,15,1,0
5,12,4,11,8,0
5,13,4,19,3,0
5,14,4,18,1,0
5,15,4,12,11,0
5,16,4,17,5,0
5,17,4,18,13,0
5,18,4,17,3,0
5,19,4,15,18,0
5,20,4,0,7,0
5,21,4,12,2,0
5,22,4,10,12,0
5,23,4,9,19,0
5,24,4,3,9,0
5,25,4,0,8,0
5,26,4,18,12,0
5,27,4,6,19,0
5,28,4,0,9,0
5,29,4,16,15,0
5,30,4,8,10,0
5,31,4,4,15,0
5,32,4,1,8,0
5,33,4,5,14,0
5,34,4,14,14,0
5,35,4,18,18,0
5,36,4,3,2,0
5,37,4,2,14,0
5,38,4,19,18,0
5,39,4,2,17,0
5,40,4,1,19,0
5,41,4,7,2,0
5,42,4,10,19,0
5,43,4,4,9,0
5,44,4,17,16,0
