tick,x,y,rank,agent_type
1,12,10,0,0
1,6,0,0,0
1,0,3,0,0
1,12,18,0,0
1,12,19,0,0
1,11,18,0,0
1,16,13,0,0
1,7,17,0,0
1,0,15,0,0
1,16,3,0,0
1,17,0,0,0
1,1,5,0,0
1,8,8,0,0
1,0,2,0,0
1,13,10,0,0
1,5,12,0,0
1,7,9,0,0
1,16,19,0,0
1,13,19,0,0
1,14,7,0,0
1,17,2,0,3
1,11,14,0,3
1,16,10,0,3
1,7,6,0,3
1,8,9,0,3
1,14,17,0,3
1,1,18,0,3
1,10,7,0,3
1,13,11,0,3
1,5,6,0,3
1,14,11,0,3
1,10,6,0,3
1,15,7,0,3
1,6,17,0,3
1,5,4,0,3
1,14,12,0,3
1,0,1,0,4
1,7,16,0,4
1,8,15,0,4
1,6,4,0,4
1,15,17,0,4
1,1,1,0,4
1,13,6,0,4
1,11,3,0,4
1,17,9,0,4
1,17,15,0,4
1,14,4,0,4
1,15,1,0,4
1,11,8,0,4
1,19,3,0,4
1,18,1,0,4
1,12,11,0,4
1,17,5,0,4
1,18,13,0,4
1,17,3,0,4
1,15,18,0,4
1,0,7,0,4
1,12,2,0,4
1,10,12,0,4
1,9,19,0,4
1,3,9,0,4
1,0,8,0,4
1,18,12,0,4
1,6,19,0,4
1,0,9,0,4
1,16,15,0,4
1,8,10,0,4
1,4,15,0,4
1,1,8,0,4
1,5,14,0,4
1,14,14,0,4
1,18,18,0,4
1,3,2,0,4
1,2,14,0,4
1,19,18,0,4
1,2,17,0,4
1,1,19,0,4
1,7,2,0,4
1,10,19,0,4
1,4,9,0,4
1,17,16,0,4
1,2,18,0,4
1,19,5,0,4
1,13,8,0,4
1,13,0,0,4
1,16,14,0,4
1,3,12,0,4
1,10,0,0,4
2,12,10,0,0
2,6,0,0,0
2,0,3,0,0
2,12,18,0,0
2,12,19,0,0
2,11,18,0,0
2,16,13,0,0
2,7,17,0,0
2,0,15,0,0
2,16,3,0,0
2,17,0,0,0
2,1,5,0,0
2,8,8,0,0
2,0,2,0,0
2,13,10,0,0
2,5,12,0,0
2,7,9,0,0
2,16,19,0,0
2,13,19,0,0
2,14,7,0,0
2,17,2,0,3
2,11,14,0,3
2,16,10,0,3
2,7,6,0,3
2,8,9,0,3
2,14,17,0,3
2,1,18,0,3
2,10,7,0,3
2,13,11,0,3
2,5,6,0,3
2,14,11,0,3
2,10,6,0,3
2,15,7,0,3
2,6,17,0,3
2,5,4,0,3
2,14,12,0,3
2,0,1,0,4
2,7,16,0,4
2,8,15,0,4
2,6,4,0,4
2,15,17,0,4
2,1,1,0,4
2,13,6,0,4
2,11,3,0,4
2,17,9,0,4
2,17,15,0,4
2,14,4,0,4
2,15,1,0,4
2,11,8,0,4
2,19,3,0,4
2,18,1,0,4
