tick,agent_id,agent_type,x,y
2,10000188,1,11,11
2,10000189,1,11,10
2,10000190,1,11,9
2,10000191,1,12,9
2,10000192,1,13,9
2,10000193,1,5,1
2,10000194,1,6,1
2,10000195,1,7,1
2,10000196,1,1,4
2,10000197,1,1,3
2,10000198,1,1,2
2,10000199,1,11,19
2,10000200,1,13,18
2,10000201,1,11,17
2,10000202,1,12,17
2,10000203,1,13,17
2,10000204,1,11,20
2,10000205,1,12,20
2,10000206,1,13,20
2,10000207,1,10,18
2,10000208,1,10,17
2,10000209,1,15,14
2,10000210,1,17,14
2,10000211,1,15,13
2,10000212,1,17,13
2,10000213,1,15,12
2,10000214,1,16,12
2,10000215,1,17,12
2,10000216,1,6,18
2,10000217,1,7,18
2,10000218,1,8,18
2,10000219,1,8,17
2,10000220,1,6,16
2,10000221,1,8,16
2,10000222,1,1,16
2,10000223,1,1,15
2,10000224,1,1,14
2,10000225,1,15,4
2,10000226,1,16,4
2,10000227,1,17,4
2,10000228,1,15,3
2,10000229,1,15,2
2,10000230,1,16,2
2,10000231,1,16,1
2,10000232,1,17,1
2,10000233,1,1,6
2,10000234,1,2,6
2,10000235,1,2,5
2,10000236,1,2,4
2,10000237,1,9,9
2,10000238,1,7,8
2,10000239,1,9,8
2,10000240,1,7,7
2,10000241,1,8,7
2,10000242,1,9,7
2,10000243,1,14,10
2,10000244,1,14,9
2,10000245,1,4,13
2,10000246,1,5,13
2,10000247,1,6,13
2,10000248,1,4,12
2,10000249,1,6,12
2,10000250,1,4,11
2,10000251,1,5,11
2,10000252,1,6,11
2,10000253,1,6,10
2,10000254,1,7,10
2,10000255,1,6,9
2,10000256,1,6,8
2,10000257,1,15,20
2,10000258,1,16,20
2,10000259,1,17,20
2,10000260,1,15,19
2,10000261,1,17,19
2,10000262,1,16,18
2,10000263,1,17,18
2,10000264,1,14,20
2,10000265,1,14,19
2,10000266,1,14,18
2,10000267,1,14,8
2,10000268,1,15,8
2,10000269,1,13,7
2,10000270,1,14,6
2,10000271,1,15,6
2,20000188,1,9,36
2,20000189,1,11,35
2,20000190,1,9,34
2,20000191,1,10,34
2,20000192,1,11,34
2,20000193,1,1,23
2,20000194,1,1,21
2,20000195,1,17,25
2,20000196,1,18,25
2,20000197,1,19,24
2,20000198,1,18,23
2,20000199,1,19,23
2,20000200,1,16,29
2,20000201,1,18,29
2,20000202,1,16,28
2,20000203,1,18,28
2,20000204,1,16,27
2,20000205,1,17,27
2,20000206,1,18,27
2,20000207,1,16,26
2,20000208,1,17,26
2,20000209,1,15,25
2,20000210,1,15,24
2,20000211,1,16,24
2,20000212,1,12,31
2,20000213,1,13,31
2,20000214,1,11,29
2,20000215,1,12,29
2,20000216,1,13,29
2,20000217,1,1,38
2,20000218,1,1,37
2,20000219,1,15,31
2,20000220,1,16,31
2,20000221,1,17,31
2,20000222,1,15,30
2,20000223,1,17,30
2,20000224,1,15,29
2,20000225,1,6,30
2,20000226,1,7,30
2,20000227,1,7,29
