tick,num_deads,num_alphas,num_tcells
1,0,0,0
2,0,2,0
3,0,5,0
4,0,8,0
5,0,9,0
6,0,11,0
7,0,14,0
8,0,15,0
9,0,15,0
10,0,16,0
11,0,18,0
12,0,18,0
13,0,18,0
14,0,19,0
15,0,20,0
16,0,23,0
17,0,25,0
18,0,28,0
19,0,31,0
20,0,32,0
21,0,36,0
22,0,36,0
23,0,36,0
24,0,38,0
25,0,39,0
26,0,40,0
27,0,41,0
28,0,43,0
29,0,44,0
30,0,44,0
31,0,45,0
32,0,45,0
33,0,45,0
34,0,45,0
35,0,45,0
36,0,45,0
37,0,45,0
38,0,45,0
39,1,44,0
40,1,44,0
41,1,48,0
42,2,48,0
43,2,48,0
44,2,50,0
45,2,53,0
46,2,53,0
47,2,54,0
48,2,55,1
49,2,56,2
50,2,58,2
51,2,58,2
52,2,58,2
53,2,58,2
54,2,59,2
55,2,59,2
56,2,60,2
57,2,60,2
58,2,62,2
59,2,63,2
60,2,63,2
61,2,63,2
62,2,64,2
63,2,64,2
64,2,64,2
65,2,65,2
66,2,66,2
67,3,65,2
68,4,65,2
69,6,63,2
70,6,64,2
71,9,62,2
72,11,60,2
73,12,59,2
74,12,59,2
75,14,57,3
76,15,56,3
77,15,56,4
78,15,56,7
79,15,56,7
80,15,56,7
81,15,56,9
82,15,56,10
83,15,56,10
84,15,56,11
85,15,56,13
86,15,56,13
87,15,56,13
88,15,57,14
89,15,57,15
90,15,57,17
91,15,57,17
92,16,57,17
93,16,58,17
94,16,58,17
95,16,58,17
96,16,58,17
97,17,60,17
98,18,59,17
99,18,59,17
100,18,59,17
101,18,60,18
102,18,60,18
103,18,60,19
104,19,59,19
105,20,58,19
106,20,58,19
107,22,56,19
108,24,54,19
109,26,52,19
110,27,51,19
111,27,51,20
112,27,52,20
113,27,52,20
114,28,51,21
115,28,51,22
116,28,51,22
117,28,51,22
118,28,51,22
119,30,50,25
120,30,50,27
121,32,48,27
122,34,46,27
123,34,46,28
124,35,45,30
125,35,45,32
126,37,43,32
127,38,42,33
128,39,41,36
129,41,39,36
130,44,36,36
131,46,34,39
132,48,32,39
133,50,30,40
134,50,30,41
135,50,30,44
136,54,26,45
137,61,19,45
138,62,18,46
139,63,17,50
140,63,17,52
141,65,15,53
142,66,14,53
143,71,9,53
144,72,8,57
145,73,7,58
146,74,6,59
147,75,5,59
148,75,5,59
149,77,3,61
150,77,3,63
151,79,1,64
