tick,agent_id,agent_type,x,y,rank
1,1000088,5,18,14,0
1,1000089,5,1,15,0
1,1000090,5,2,10,0
1,1000091,5,17,18,0
1,1000092,5,5,1,0
1,1000093,5,9,16,0
1,1000094,5,12,1,0
1,1000095,5,4,8,0
1,1000096,5,17,19,0
1,1000097,5,2,11,0
1,1000098,5,15,5,0
1,1000099,5,4,17,0
1,1000100,5,4,4,0
1,1000101,5,2,2,0
1,1000102,5,16,11,0
1,1000103,5,17,11,0
1,1000104,5,15,16,0
1,1000105,5,1,11,0
1,1000106,5,9,5,0
1,1000107,5,9,8,0
1,1000108,5,16,12,0
1,1000109,5,14,19,0
1,1000110,5,12,7,0
1,1000111,5,4,11,0
1,1000112,5,0,16,0
1,1000113,5,18,2,0
1,1000114,5,16,8,0
1,1000115,5,0,18,0
1,1000116,5,18,0,0
1,1000117,5,11,16,0
1,1000118,5,15,8,0
1,1000119,5,2,0,0
1,1000120,5,2,7,0
1,1000121,5,2,1,0
1,1000122,5,5,13,0
1,1000123,5,10,5,0
1,1000124,5,19,14,0
1,1000125,5,15,2,0
1,1000126,5,0,17,0
1,1000127,5,8,1,0
1,1000128,5,9,7,0
1,1000129,5,6,9,0
1,1000130,5,13,15,0
1,1000131,5,0,6,0
1,1000132,5,10,17,0
1,1000133,5,12,17,0
1,1000134,5,3,10,0
1,1000135,5,12,6,0
1,1000136,5,11,19,0
1,1000137,5,14,6,0
1,1000138,5,1,3,0
1,1000139,5,5,17,0
1,1000140,5,5,16,0
1,1000141,5,19,4,0
1,1000142,5,11,2,0
1,1000143,5,2,13,0
1,1000144,5,0,14,0
1,1000145,5,13,7,0
1,1000146,5,11,11,0
1,1000147,5,14,3,0
1,1000148,5,15,10,0
1,1000149,5,6,1,0
1,1000150,5,0,11,0
1,1000151,5,8,0,0
1,1000152,5,10,15,0
1,1000153,5,10,11,0
1,1000154,5,19,6,0
1,1000155,5,15,3,0
1,1000156,5,7,13,0
1,1000157,5,10,9,0
1,1000158,5,6,3,0
1,1000159,5,6,7,0
1,1000160,5,19,17,0
1,1000161,5,2,15,0
1,1000162,5,5,2,0
1,1000163,5,11,1,0
1,1000164,5,13,12,0
1,1000165,5,19,9,0
1,1000166,5,14,10,0
1,1000167,5,4,1,0
1,1000168,5,5,3,0
1,1000169,5,14,16,0
